player_id;surname;name;position;club;price;last_season_in_premier_league
1128;Alex;Scott;Midfielder;Bournemouth;5.0;Yes
1129;Luis;Sinisterra;Midfielder;Bournemouth;5.0;Yes
1130;Romain;Faivre;Midfielder;Bournemouth;4.5;Yes
1131;Hamed;Traore;Midfielder;Bournemouth;4.5;Yes
1132;Dominic;Sadi;Midfielder;Bournemouth;4.5;Yes
1133;Zain;Silcott-Duberry;Midfielder;Bournemouth;4.5;Yes
1134;Ben;Winterburn;Midfielder;Bournemouth;4.5;Yes
1135;;Evanilson;Forward;Bournemouth;7.0;Yes
1136;Enes;Unal;Forward;Bournemouth;5.5;Yes
1137;Daniel;Adu-Adjei;Forward;Bournemouth;4.5;Yes
1138;Eli Junior;Kroupi;Forward;Bournemouth;4.5;No
1139;Caoimhin;Kelleher;Goalkeeper;Brentford;4.5;Yes
1140;Ellery;Balcombe;Goalkeeper;Brentford;4.0;Yes
1141;Matthew;Cox;Goalkeeper;Brentford;4.0;Yes
1142;Julian;Eyestone;Goalkeeper;Brentford;4.0;Yes
1143;Hakon Rafn;Valdimarsson;Goalkeeper;Brentford;4.0;Yes
1144;Nathan;Collins;Defender;Brentford;5.0;Yes
1145;Keane;Lewis-Potter;Defender;Brentford;5.0;Yes
1146;Kristoffer;Ajer;Defender;Brentford;4.5;Yes
1147;Rico;Henry;Defender;Brentford;4.5;Yes
1148;Michael;Kayode;Defender;Brentford;4.5;Yes
1149;Ethan;Pinnock;Defender;Brentford;4.5;Yes
1150;Mads;Roerslev;Defender;Brentford;4.5;Yes
1151;Sepp;Van den Berg;Defender;Brentford;4.5;Yes
1152;Benjamin;Arthur;Defender;Brentford;4.0;Yes
1153;Benjamin;Fredrick;Defender;Brentford;4.0;Yes
1154;Aaron;Hickey;Defender;Brentford;4.0;Yes
1155;Kim;Ji-soo;Defender;Brentford;4.0;Yes
1156;Jayden;Meghoma;Defender;Brentford;4.0;No
1157;Kevin;Schade;Midfielder;Brentford;7.0;Yes
1158;Mikkel;Damsgaard;Midfielder;Brentford;6.0;Yes
1159;Antoni;Milambo;Midfielder;Brentford;5.5;No
1160;Fabio;Carvalho;Midfielder;Brentford;5.0;Yes
1161;Jordan;Henderson;Midfielder;Brentford;5.0;No
1162;Vitaly;Janelt;Midfielder;Brentford;5.0;Yes
1163;Mathias;Jensen;Midfielder;Brentford;5.0;Yes
1164;Gustavo;Nunes;Midfielder;Brentford;5.0;Yes
1165;Frank;Onyeka;Midfielder;Brentford;5.0;Yes
1166;Yehor;Yarmoliuk;Midfielder;Brentford;5.0;Yes
1167;Romelle;Donovan;Midfielder;Brentford;4.5;Yes
1168;Yunus Emre;Konak;Midfielder;Brentford;4.5;Yes
1169;Paris;Maghoma;Midfielder;Brentford;4.5;Yes
1170;Myles;Peart-Harris;Midfielder;Brentford;4.5;No
1171;Ryan;Trevitt;Midfielder;Brentford;4.5;Yes
1172;Yoane;Wissa;Forward;Brentford;7.5;Yes
1173;;Thiago;Forward;Brentford;6.0;Yes
1174;Iwan;Morgan;Forward;Brentford;4.5;Yes
1175;Jason;Steele;Goalkeeper;Brighton and Hove Albion;4.5;Yes
1176;Bart;Verbruggen;Goalkeeper;Brighton and Hove Albion;4.5;Yes
1177;Tom;McGill;Goalkeeper;Brighton and Hove Albion;4.0;Yes
1178;Carl;Rushworth;Goalkeeper;Brighton and Hove Albion;4.0;Yes
1179;Kjell;Scherpen;Goalkeeper;Brighton and Hove Albion;4.0;Yes
1180;Olivier;Boscagli;Defender;Brighton and Hove Albion;4.5;No
1181;Diego;Coppola;Defender;Brighton and Hove Albion;4.5;No
1182;Maxim;De Cuyper;Defender;Brighton and Hove Albion;4.5;No
1183;Lewis;Dunk;Defender;Brighton and Hove Albion;4.5;Yes
1184;Pervis;Estupinian;Defender;Brighton and Hove Albion;4.5;Yes
1185;Ferdi;Kadioglu;Defender;Brighton and Hove Albion;4.5;Yes
1186;;Igor;Defender;Brighton and Hove Albion;4.5;Yes
1187;Tariq;Lamptey;Defender;Brighton and Hove Albion;4.5;Yes
1188;Jan Paul;Van Hecke;Defender;Brighton and Hove Albion;4.5;Yes
1189;Joel;Veltman;Defender;Brighton and Hove Albion;4.5;Yes
1190;Adam;Webster;Defender;Brighton and Hove Albion;4.5;Yes
1191;Eiran;Cashin;Defender;Brighton and Hove Albion;4.0;No
1192;Jacob;Slater;Defender;Brighton and Hove Albion;4.0;Yes
1193;Charlie;Tasker;Defender;Brighton and Hove Albion;4.0;Yes
1194;Kaoru;Mitoma;Midfielder;Brighton and Hove Albion;6.5;Yes
1195;Georginio;Rutter;Midfielder;Brighton and Hove Albion;6.0;No
1196;Solly;March;Midfielder;Brighton and Hove Albion;6.0;Yes
1197;Yankuba;Minteh;Midfielder;Brighton and Hove Albion;6.0;Yes
1198;Julio;Enciso;Midfielder;Brighton and Hove Albion;5.5;Yes
1199;Brajan;Gruda;Midfielder;Brighton and Hove Albion;5.5;Yes
1200;Jack;Hinshelwood;Midfielder;Brighton and Hove Albion;5.5;Yes
1201;Matt;O'Riley;Midfielder;Brighton and Hove Albion;5.5;Yes
1202;Abdallah;Sima;Midfielder;Brighton and Hove Albion;5.5;No
1203;Yasin;Ayari;Midfielder;Brighton and Hove Albion;5.0;Yes
1204;Carlos;Baleba;Midfielder;Brighton and Hove Albion;5.0;Yes
1205;Facundo;Buonanotte;Midfielder;Brighton and Hove Albion;5.0;Yes
1206;Diego;Gomez;Midfielder;Brighton and Hove Albion;5.0;Yes
1207;James;Milner;Midfielder;Brighton and Hove Albion;5.0;Yes
1208;Jeremy;Sarmiento;Midfielder;Brighton and Hove Albion;5.0;No
1209;Tom;Watson;Midfielder;Brighton and Hove Albion;5.0;No
1210;Mats;Wieffer;Midfielder;Brighton and Hove Albion;5.0;Yes
1211;Malick;Yalcouye;Midfielder;Brighton and Hove Albion;5.0;Yes
1212;Joe;Knight;Midfielder;Brighton and Hove Albion;4.5;Yes
1213;Adrian;Mazilu;Midfielder;Brighton and Hove Albion;4.5;Yes
1214;Andrew;Moran;Midfielder;Brighton and Hove Albion;4.5;No
